Algo-Type,Ticker,SMA1,SMA2,Profit,No. of Trades,Type
SMA-Crossover,AAPL,60,94,51.200325,5,long
SMA-Crossover,MSFT,27,61,57.967888,5,long
SMA-Crossover,AMZN,56,24,50.419853,17,short
SMA-Crossover,TSLA,39,61,149.26106,8,long
SMA-Crossover,GOOG,20,102,83.78063,3,long
SMA-Crossover,BRK.B,20,24,49.739212,27,long
SMA-Crossover,FB,39,40,46.480087,46,long
SMA-Crossover,NVDA,92,111,129.00983,3,long
SMA-Crossover,JPM,63,76,83.88924,5,long
SMA-Crossover,V,57,53,50.012104,25,short
SMA-Crossover,MA,59,50,65.60846,19,short
SMA-Crossover,PFE,93,97,58.197903,15,long
SMA-Crossover,BAC,24,36,78.56106,11,long
SMA-Crossover,KO,28,20,26.986927,20,short
SMA-Crossover,DIS,32,34,53.27746,49,long
SMA-Crossover,MCD,27,47,32.932983,10,long
SMA-Crossover,INTC,66,57,50.950275,13,short
SMA-Crossover,NFLX,43,20,56.86425,13,short
SMA-Crossover,BLK,63,26,45.567936,7,short
SMA-Crossover,BA,123,62,63.359512,3,short
SMA-Crossover,TDOC,106,46,62.726368,3,short
