USDCAD,USD/CAD
EURJPY,EUR/JPY
EURUSD,EUR/USD
EURCHF,EUR/CHF
USDCHF,USD/CHF
EURGBP,EUR/GBP
GBPUSD,GBP/USD
AUDCAD,AUD/CAD
NZDUSD,NZD/USD
GBPCHF,GBP/CHF
AUDUSD,AUD/USD
GBPJPY,GBP/JPY
USDJPY,USD/JPY
CHFJPY,CHF/JPY
EURCAD,EUR/CAD
AUDJPY,AUD/JPY
EURAUD,EUR/AUD
AUDNZD,AUD/NZD
