buy,680.18
sell,649.26,-4.545853
buy,704.83496
sell,699.1,-0.81366354
buy,711.96497
sell,711.92,-0.006318135
buy,733.445
sell,733.57,0.01704286
buy,746.45996
sell,754.86,1.1253148
buy,741.605
sell,1136.99,53.314774
buy,1047.975
sell,975.99,-6.86896
buy,1065.11
sell,1149.59,7.931574
buy,1070.85
sell,943.9,-11.855064
buy,750.58
sell,870.43,15.967648
buy,918.06995
sell,998.02,8.708495

